日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,股票代码,股票名称
2024-06-12,27.39,27.68,28.35,27.39,10033.0,28808139.0,3.55,2.33,0.63,2.08,301110,青木科技
2024-06-13,27.6,27.61,28.18,27.21,9587.0,27185752.0,3.5,-0.25,-0.07,1.99,301110,青木科技
2024-06-14,27.32,27.54,27.7,27.25,5957.0,16823945.0,1.63,-0.25,-0.07,1.24,301110,青木科技
2024-06-17,27.27,26.86,27.43,26.73,7400.0,20587502.0,2.54,-2.47,-0.68,1.54,301110,青木科技
2024-06-18,26.65,26.92,27.46,26.65,5806.0,16068751.0,3.02,0.22,0.06,1.21,301110,青木科技
2024-06-19,26.8,27.04,27.33,26.56,5779.0,16083176.0,2.86,0.45,0.12,1.2,301110,青木科技
2024-06-20,27.04,26.54,27.26,26.37,8210.0,22578357.0,3.29,-1.85,-0.5,1.7,301110,青木科技
2024-06-21,26.26,27.97,28.74,26.1,14016.0,39622626.0,9.95,5.39,1.43,2.91,301110,青木科技
2024-06-24,27.5,26.83,28.88,26.51,14387.0,40720484.0,8.47,-4.08,-1.14,2.99,301110,青木科技
2024-06-25,26.58,27.62,27.87,26.24,10934.0,30733707.0,6.08,2.94,0.79,2.27,301110,青木科技
2024-06-26,27.62,28.79,28.92,27.2,15444.0,44666209.0,6.23,4.24,1.17,3.21,301110,青木科技
2024-06-27,28.45,28.8,28.88,28.3,9693.0,28457018.0,2.01,0.03,0.01,2.01,301110,青木科技
2024-06-28,28.65,28.73,29.09,28.25,10355.0,30473572.0,2.92,-0.24,-0.07,2.15,301110,青木科技
2024-07-01,28.99,29.2,30.07,28.73,17376.0,52612586.0,4.66,1.64,0.47,3.54,301110,青木科技
2024-07-02,29.1,29.51,30.2,29.03,14759.0,44930777.0,4.01,1.06,0.31,3.01,301110,青木科技
2024-07-03,29.7,29.92,30.86,29.08,13778.0,42140582.0,6.03,1.39,0.41,2.81,301110,青木科技
2024-07-04,29.6,29.0,30.06,28.88,12178.0,36798525.0,3.94,-3.07,-0.92,2.48,301110,青木科技
2024-07-05,29.09,30.37,30.6,28.38,15878.0,48532068.0,7.66,4.72,1.37,3.23,301110,青木科技
2024-07-08,30.32,29.04,30.32,28.81,14695.0,44378580.0,4.97,-4.38,-1.33,2.99,301110,青木科技
2024-07-09,29.2,28.52,29.75,27.75,17007.0,49851322.0,6.89,-1.79,-0.52,3.46,301110,青木科技
2024-07-10,28.54,28.55,29.01,27.92,10477.0,30666588.0,3.82,0.11,0.03,2.13,301110,青木科技
2024-07-11,28.56,29.86,30.07,28.56,16165.0,49296858.0,5.29,4.59,1.31,3.29,301110,青木科技
2024-07-12,29.7,28.59,30.0,28.59,13312.0,39793866.0,4.72,-4.25,-1.27,2.71,301110,青木科技
2024-07-15,28.55,27.35,28.56,27.2,13282.0,37759559.0,4.76,-4.34,-1.24,2.7,301110,青木科技
2024-07-16,27.28,27.47,27.62,27.06,8180.0,23037007.0,2.05,0.44,0.12,1.67,301110,青木科技
2024-07-17,27.32,26.68,27.8,26.67,7226.0,20155929.0,4.11,-2.88,-0.79,1.47,301110,青木科技
2024-07-18,26.39,25.99,26.46,25.4,10835.0,28916227.0,3.97,-2.59,-0.69,2.21,301110,青木科技
2024-07-19,25.7,27.49,27.98,25.7,14132.0,39439834.0,8.77,5.77,1.5,2.88,301110,青木科技
2024-07-22,27.3,27.27,27.69,26.9,7104.0,19966348.0,2.87,-0.8,-0.22,1.45,301110,青木科技
2024-07-23,27.26,26.45,27.35,26.43,5011.0,13853786.0,3.37,-3.01,-0.82,1.02,301110,青木科技
2024-07-24,26.51,25.58,26.75,25.44,8466.0,22606755.0,4.95,-3.29,-0.87,1.72,301110,青木科技
2024-07-25,25.85,25.8,26.1,25.01,6899.0,18238631.0,4.26,0.86,0.22,1.4,301110,青木科技
2024-07-26,25.53,26.0,26.14,25.5,5836.0,15538050.0,2.48,0.78,0.2,1.19,301110,青木科技
2024-07-29,26.01,25.68,26.12,25.59,4615.0,12259190.0,2.04,-1.23,-0.32,0.94,301110,青木科技
2024-07-30,26.0,25.99,26.37,25.61,4926.0,13187967.0,2.96,1.21,0.31,1.0,301110,青木科技
2024-07-31,26.1,27.4,27.6,26.01,10217.0,28296979.0,6.12,5.43,1.41,2.08,301110,青木科技
2024-08-01,27.4,26.91,27.7,26.81,7598.0,21124294.0,3.25,-1.79,-0.49,1.55,301110,青木科技
2024-08-02,26.71,26.64,27.17,26.63,6567.0,18163975.0,2.01,-1.0,-0.27,1.34,301110,青木科技
2024-08-05,26.7,25.88,27.17,25.88,7069.0,19285415.0,4.84,-2.85,-0.76,1.44,301110,青木科技
2024-08-06,26.08,26.15,27.0,25.79,7017.0,18931600.0,4.68,1.04,0.27,1.43,301110,青木科技
2024-08-07,26.01,26.2,26.44,25.91,4930.0,13320846.0,2.03,0.19,0.05,1.0,301110,青木科技
2024-08-08,26.05,26.2,26.45,25.29,6055.0,16138617.0,4.43,0.0,0.0,1.23,301110,青木科技
2024-08-09,26.0,25.88,26.37,25.88,3729.0,10024074.0,1.87,-1.22,-0.32,0.76,301110,青木科技
2024-08-12,26.22,25.55,26.22,25.45,3040.0,8019622.0,2.98,-1.28,-0.33,0.62,301110,青木科技
2024-08-13,25.46,25.55,25.79,25.29,2951.0,7758667.0,1.96,0.0,0.0,0.6,301110,青木科技
2024-08-14,25.56,25.48,25.71,25.32,2836.0,7469820.0,1.53,-0.27,-0.07,0.58,301110,青木科技
2024-08-15,25.39,25.74,25.94,25.23,5728.0,15155613.0,2.79,1.02,0.26,1.17,301110,青木科技
2024-08-16,25.74,26.18,26.33,25.53,5758.0,15440532.0,3.11,1.71,0.44,1.17,301110,青木科技
2024-08-19,25.94,26.76,27.47,25.94,8545.0,23673009.0,5.84,2.22,0.58,1.74,301110,青木科技
2024-08-20,27.4,26.58,28.08,26.57,15500.0,43739300.0,5.64,-0.67,-0.18,3.16,301110,青木科技
2024-08-21,25.95,26.7,27.3,25.7,11131.0,30551723.0,6.02,0.45,0.12,2.27,301110,青木科技
2024-08-22,26.59,26.13,27.08,25.9,6998.0,19078830.0,4.42,-2.13,-0.57,1.43,301110,青木科技
2024-08-23,25.77,25.9,26.6,25.77,5940.0,15945371.0,3.18,-0.88,-0.23,1.21,301110,青木科技
2024-08-26,25.79,26.33,26.66,25.51,4575.0,12379155.0,4.44,1.66,0.43,0.93,301110,青木科技
2024-08-27,26.43,26.25,26.7,26.0,7100.0,19251776.0,2.66,-0.3,-0.08,1.45,301110,青木科技
2024-08-28,26.3,27.28,27.76,26.0,15541.0,43317275.0,6.7,3.92,1.03,3.16,301110,青木科技
2024-08-29,27.42,27.63,27.92,26.81,14187.0,40124238.0,4.07,1.28,0.35,2.89,301110,青木科技
2024-08-30,27.56,27.87,28.4,27.54,15757.0,45484473.0,3.11,0.87,0.24,3.21,301110,青木科技
2024-09-02,27.59,28.22,28.77,27.53,13651.0,39893006.0,4.45,1.26,0.35,2.78,301110,青木科技
2024-09-03,28.23,29.2,29.6,28.23,16060.0,48245015.0,4.85,3.47,0.98,3.27,301110,青木科技
2024-09-04,28.84,28.79,29.27,28.61,10914.0,32361483.0,2.26,-1.4,-0.41,2.22,301110,青木科技
2024-09-05,28.7,28.72,29.3,28.36,11167.0,32997687.0,3.27,-0.24,-0.07,2.27,301110,青木科技
2024-09-06,28.69,28.13,29.5,27.81,13030.0,38495958.0,5.88,-2.05,-0.59,2.65,301110,青木科技
2024-09-09,27.98,27.74,28.31,27.61,12513.0,35933165.0,2.49,-1.39,-0.39,2.55,301110,青木科技
2024-09-10,27.74,28.09,28.13,27.38,12590.0,35947407.0,2.7,1.26,0.35,2.56,301110,青木科技
2024-09-11,27.87,27.62,27.99,27.43,8917.0,25356682.0,1.99,-1.67,-0.47,1.82,301110,青木科技
