股票代码,股票名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率,市净率,总市值,流通市值,更新时间
603382,N海阳,55.97,386.7,44.47,303470,1240247402.0,321.74,70.0,33.0,33.0,11.5,-,85.43,80.36,5.94,10144639067,1988102534,2025-06-12 22:15:34
300237,美晨科技,2.5,20.19,0.42,4179337,966970092.59,17.31,2.5,2.14,2.28,2.08,4.58,28.98,-18.62,67.12,3604787325,3604753575,2025-06-12 22:15:34
300333,兆日科技,16.49,20.01,2.75,1280503,1919273171.48,24.16,16.49,13.17,13.21,13.74,3.31,38.25,-1130.46,9.47,5540640000,5520523305,2025-06-12 22:15:34
301662,宏工科技,93.05,20.0,15.51,50882,435647699.78,21.89,93.05,76.08,77.0,77.54,1.43,32.25,107.34,5.21,7444000000,1467987041,2025-06-12 22:15:34
301622,英思特,97.32,20.0,16.22,175437,1563643142.73,21.48,97.32,79.9,80.95,81.1,3.15,60.53,68.82,7.62,11282490562,2820622640,2025-06-12 22:15:34
301110,青木科技,72.42,20.0,12.07,224887,1511639342.65,17.83,72.42,61.66,62.76,60.35,3.28,46.33,167.27,4.81,6701408816,3515290916,2025-06-12 22:15:34
300987,川网传媒,20.64,20.0,3.44,373223,724878624.51,20.0,20.64,17.2,17.2,17.2,4.14,21.53,341.46,4.43,3578315520,3578315520,2025-06-12 22:15:34
300949,奥雅股份,52.8,20.0,8.8,59539,302751182.6,15.39,52.8,46.03,46.03,44.0,0.94,17.36,-85.64,4.65,3194743200,1811096126,2025-06-12 22:15:34
300640,德艺文创,8.52,20.0,1.42,651528,529513932.68,20.99,8.52,7.03,7.11,7.1,2.09,29.51,168.62,3.3,2649663998,1880782588,2025-06-12 22:15:34
300521,爱司凯,25.44,20.0,4.24,220358,531533858.28,21.04,25.44,20.98,21.28,21.2,8.37,15.3,-135.5,7.58,3663360000,3663327946,2025-06-12 22:15:34
300886,华业香料,41.36,19.99,6.89,166006,636918398.43,21.29,41.36,34.02,34.02,34.47,1.42,38.03,67.53,5.34,3093645280,1805210968,2025-06-12 22:15:34
688619,罗普特,12.01,19.98,2.0,147380,169957433.0,20.48,12.01,9.96,10.21,10.01,6.19,7.95,-22.61,2.57,2227110884,2227110884,2025-06-12 22:15:34
300460,惠伦晶体,10.87,19.98,1.81,515396,537470549.4,20.42,10.87,9.02,9.02,9.06,6.79,18.35,-51.45,4.92,3052342208,3052342208,2025-06-12 22:15:34
688331,荣昌生物,71.0,17.55,10.6,179126,1208882220.0,20.66,72.48,60.0,60.5,60.4,2.25,11.04,-39.36,22.46,40016185253,11517894912,2025-06-12 22:15:34
688077,大地熊,35.9,15.21,4.74,231682,766434229.0,24.52,37.39,29.75,30.51,31.16,2.02,20.24,151.14,3.92,4109778294,4109778294,2025-06-12 22:15:34
300528,幸福蓝海,11.62,13.59,1.39,630259,702924074.88,20.43,12.2,10.11,10.13,10.23,2.66,16.91,15.35,7.18,4329705587,4329705587,2025-06-12 22:15:34
688593,新相微,17.2,13.23,2.01,205577,324653633.0,16.52,17.21,14.7,15.2,15.19,5.02,6.37,904.28,5.1,7903905886,5550125636,2025-06-12 22:15:34
688489,三未信安,38.56,13.08,4.46,45586,170199455.0,13.99,38.58,33.81,34.02,34.1,5.0,9.02,-32.53,2.45,4425472435,1948551400,2025-06-12 22:15:34
301323,新莱福,49.41,13.07,5.71,70446,327573135.94,16.54,50.25,43.02,43.7,43.7,4.2,10.51,42.54,2.44,5184239995,3310823924,2025-06-12 22:15:34
301279,金道科技,23.5,12.17,2.55,136169,306088799.28,19.57,24.55,20.45,20.97,20.95,4.01,36.69,51.99,2.34,3048865866,872178366,2025-06-12 22:15:34
300652,雷迪克,73.03,12.1,7.88,104921,734114528.28,14.4,73.5,64.12,65.98,65.15,1.37,8.76,69.7,6.91,9741513473,8743000209,2025-06-12 22:15:34
300149,睿智医药,12.89,11.31,1.31,1320554,1666315061.24,13.82,13.4,11.8,11.8,11.58,1.3,26.57,241.59,5.26,6418755857,6407418058,2025-06-12 22:15:34
688656,浩欧博,137.88,11.19,13.88,34580,459519400.0,16.48,144.44,124.0,124.0,124.0,1.39,5.48,1326.06,10.92,8694482265,8694482265,2025-06-12 22:15:34
300204,舒泰神,34.5,10.36,3.24,539285,1799134994.68,17.5,36.11,30.64,30.68,31.26,0.91,11.43,-1764.76,17.29,16483153148,16283285885,2025-06-12 22:15:34
300791,仙乐健康,27.44,10.33,2.57,184725,489985290.14,12.75,27.77,24.6,24.73,24.87,2.11,7.2,30.79,3.78,8453459240,7041924346,2025-06-12 22:15:34
688203,海正生材,11.44,10.11,1.05,115381,126907553.0,11.26,11.48,10.31,10.35,10.39,8.05,9.8,2483.18,1.57,2318637098,1346807256,2025-06-12 22:15:34
601279,英利汽车,4.36,10.1,0.4,87955,38348380.0,0.0,4.36,4.36,4.36,3.96,0.86,0.55,-46.63,1.64,6914026895,6914026895,2025-06-12 22:15:34
688005,容百科技,20.89,10.06,1.91,399695,814922381.0,14.33,21.42,18.7,18.9,18.98,3.37,8.59,-241.92,1.83,14930615068,9715529681,2025-06-12 22:15:34
603335,迪生力,5.91,10.06,0.54,808693,461831167.0,8.01,5.91,5.48,5.63,5.37,4.92,18.89,-27.96,10.72,2530334586,2530334586,2025-06-12 22:15:34
300394,天孚通信,74.79,10.05,6.83,632872,4696745145.1,15.83,77.82,67.06,67.89,67.96,1.73,8.16,43.05,14.2,58142934488,58025999874,2025-06-12 22:15:34
002366,融发核电,7.45,10.04,0.68,4296046,3124379641.61,9.9,7.45,6.78,6.87,6.77,1.26,34.19,1245.05,3.34,15502985418,9360659706,2025-06-12 22:15:34
002237,恒邦股份,12.49,10.04,1.14,388701,466763065.7,9.78,12.49,11.38,11.51,11.35,2.1,4.27,22.93,1.53,14339437440,11371633584,2025-06-12 22:15:34
000701,厦门信达,7.56,10.04,0.69,1634521,1159292662.21,15.87,7.56,6.47,6.75,6.87,1.4,24.48,158.54,-10.91,5109101721,5047857783,2025-06-12 22:15:34
002181,粤 传 媒,8.88,10.04,0.81,1946932,1669902589.2,9.79,8.88,8.09,8.5,8.07,1.76,17.16,70.49,2.42,10310196585,10074539207,2025-06-12 22:15:34
603787,新日股份,15.46,10.04,1.41,475824,705452087.0,11.74,15.46,13.81,14.19,14.05,9.73,20.68,29.72,2.32,3558022993,3558022993,2025-06-12 22:15:34
002615,哈尔斯,9.32,10.04,0.85,915906,841200800.23,6.14,9.32,8.8,8.96,8.47,2.73,29.93,26.22,2.64,4345615262,2852369289,2025-06-12 22:15:34
301109,军信股份,23.8,10.03,2.17,143327,332449198.08,12.53,24.22,21.51,21.63,21.63,3.91,14.53,19.4,1.85,13414714324,2347889778,2025-06-12 22:15:34
603093,南华期货,22.61,10.02,2.06,290661,631152020.0,16.01,22.61,19.32,19.32,20.55,0.5,4.76,40.22,3.36,13793589841,13793589841,2025-06-12 22:15:34
002961,瑞达期货,19.87,10.02,1.81,246765,467712672.43,12.24,19.87,17.66,17.66,18.06,0.97,5.54,27.27,3.09,8842857809,8842857809,2025-06-12 22:15:34
