医院名称,医院等级,医院类型,床位数,地址,电话,省份,建立时间,员工数量,年门诊量,数据来源,更新时间,疾病名称,年份,月份,发病人数,死亡人数,治愈人数,病死率,治愈率,统计日期,政策标题,文号,发布日期,政策类型,发布部门,实施日期,政策级别,适用范围,研究标题,研究领域,研究类型,发表期刊,发表年份,发表月份,影响因子,样本量,研究机构,第一作者,通讯作者,基金支持,关键词
北京市第1中医医院,三级乙等,中医医院,1041.0,北京市西区,076-57660890,北京,1984-11-04,1578.0,82万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市第2肿瘤医院,二级乙等,肿瘤医院,550.0,北京市西区,087-60422712,北京,1965-10-26,729.0,47万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市第3眼科医院,一级甲等,眼科医院,132.0,北京市西区,016-50806824,北京,2013-07-01,2240.0,115万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市第4肿瘤医院,一级甲等,肿瘤医院,127.0,北京市中心区,034-25596506,北京,1997-06-06,1460.0,196万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市第5心血管医院,一级甲等,心血管医院,216.0,北京市中心区,093-44329860,北京,1981-05-11,2517.0,52万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市第6口腔医院,二级甲等,口腔医院,774.0,北京市南区,033-64873497,北京,2008-03-22,2874.0,150万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市第7口腔医院,二级甲等,口腔医院,296.0,北京市北区,035-39452840,北京,1971-11-20,2690.0,148万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市第8专科医院,二级甲等,专科医院,547.0,北京市中心区,073-18794927,北京,2018-06-01,2153.0,195万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市第9儿童医院,三级甲等,儿童医院,1546.0,北京市西区,073-43278735,北京,1998-05-09,1443.0,95万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市第10专科医院,二级甲等,专科医院,795.0,北京市北区,084-59427702,北京,1957-09-25,179.0,145万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市第11综合医院,三级乙等,综合医院,1059.0,北京市北区,019-31719846,北京,1975-07-18,2508.0,160万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市第12心血管医院,一级甲等,心血管医院,65.0,北京市中心区,094-67741106,北京,1966-10-17,1002.0,167万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市第13眼科医院,二级乙等,眼科医院,643.0,北京市南区,057-35334558,北京,2015-12-16,2459.0,165万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市第14精神病医院,二级乙等,精神病医院,254.0,北京市南区,054-17401534,北京,1965-10-14,1049.0,56万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市第15综合医院,二级乙等,综合医院,524.0,北京市中心区,048-55516908,北京,2001-02-09,195.0,112万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市第16综合医院,三级乙等,综合医院,745.0,北京市中心区,012-62209862,北京,1994-07-01,1929.0,88万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市第17心血管医院,三级甲等,心血管医院,942.0,北京市西区,036-80022603,北京,1955-09-04,1700.0,180万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市第18精神病医院,三级乙等,精神病医院,527.0,北京市北区,086-50626577,北京,1989-06-04,2749.0,139万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市第1综合医院,二级乙等,综合医院,494.0,上海市西区,072-45793946,上海,1979-03-04,1430.0,92万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市第2中医医院,一级甲等,中医医院,228.0,上海市东区,026-64007665,上海,1953-07-19,2267.0,163万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市第3综合医院,二级甲等,综合医院,322.0,上海市南区,093-26572121,上海,1969-09-28,1797.0,123万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市第4心血管医院,三级乙等,心血管医院,700.0,上海市北区,096-52822569,上海,1956-10-10,866.0,79万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市第5儿童医院,一级甲等,儿童医院,187.0,上海市西区,032-61933052,上海,2009-06-06,1942.0,24万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市第6综合医院,三级甲等,综合医院,1983.0,上海市北区,039-72377070,上海,1992-03-09,2177.0,35万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市第7专科医院,二级甲等,专科医院,706.0,上海市西区,048-91918583,上海,1976-07-01,2944.0,169万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市第8妇产医院,二级甲等,妇产医院,324.0,上海市南区,034-13145296,上海,2007-09-21,1326.0,159万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市第9专科医院,三级乙等,专科医院,1039.0,上海市西区,082-37034723,上海,2017-06-26,590.0,41万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市第10心血管医院,二级甲等,心血管医院,509.0,上海市南区,047-64811376,上海,1973-04-02,861.0,146万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市第11专科医院,三级甲等,专科医院,1602.0,上海市南区,027-81082414,上海,1958-09-08,1565.0,54万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市第12中医医院,二级甲等,中医医院,585.0,上海市西区,020-19274959,上海,1994-09-09,2751.0,195万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市第13眼科医院,一级甲等,眼科医院,276.0,上海市中心区,024-71532742,上海,2009-01-11,526.0,37万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市第14专科医院,一级甲等,专科医院,208.0,上海市中心区,088-88796836,上海,1998-04-20,2321.0,115万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市第15口腔医院,三级乙等,口腔医院,889.0,上海市南区,077-25441993,上海,2020-12-01,1274.0,67万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市第16专科医院,二级乙等,专科医院,252.0,上海市西区,091-48672935,上海,1964-06-21,626.0,17万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市第17精神病医院,一级甲等,精神病医院,173.0,上海市北区,021-71411155,上海,1982-01-19,296.0,98万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市第18综合医院,三级甲等,综合医院,1297.0,上海市北区,091-60821041,上海,2008-11-25,130.0,60万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市第19专科医院,二级乙等,专科医院,736.0,上海市西区,015-35731464,上海,1975-04-03,2841.0,118万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市第20儿童医院,三级甲等,儿童医院,1042.0,上海市西区,053-85204000,上海,2002-07-01,2192.0,25万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广东市第1心血管医院,三级甲等,心血管医院,945.0,广东市南区,017-63411999,广东,1966-04-14,2018.0,167万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广东市第2专科医院,三级乙等,专科医院,879.0,广东市西区,074-89643725,广东,2008-02-06,2845.0,27万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广东市第3肿瘤医院,三级乙等,肿瘤医院,571.0,广东市南区,028-89030706,广东,1991-11-10,1131.0,116万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广东市第4儿童医院,三级甲等,儿童医院,1548.0,广东市中心区,010-62270308,广东,1999-09-20,605.0,95万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广东市第5综合医院,三级甲等,综合医院,1885.0,广东市中心区,080-23499728,广东,1978-02-03,1596.0,105万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广东市第6中医医院,三级甲等,中医医院,1298.0,广东市西区,081-62307605,广东,1962-07-19,598.0,68万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广东市第7儿童医院,三级乙等,儿童医院,970.0,广东市南区,053-57196271,广东,1977-11-15,2687.0,155万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广东市第8综合医院,一级甲等,综合医院,256.0,广东市中心区,065-11117747,广东,2014-06-21,927.0,152万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广东市第9心血管医院,三级乙等,心血管医院,958.0,广东市西区,049-80437575,广东,2010-06-27,2433.0,196万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广东市第10心血管医院,三级甲等,心血管医院,969.0,广东市西区,056-73999970,广东,1995-11-26,1361.0,31万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广东市第11心血管医院,三级乙等,心血管医院,1145.0,广东市南区,013-13748366,广东,1967-05-18,1954.0,171万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广东市第12眼科医院,二级甲等,眼科医院,288.0,广东市南区,056-22599885,广东,1993-02-18,2271.0,194万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广东市第13儿童医院,一级甲等,儿童医院,300.0,广东市西区,036-35719347,广东,1956-09-05,843.0,116万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广东市第14儿童医院,三级乙等,儿童医院,983.0,广东市东区,089-75631751,广东,1956-10-22,501.0,157万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广东市第15妇产医院,二级乙等,妇产医院,727.0,广东市西区,073-80071295,广东,1979-04-25,2869.0,67万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广东市第16专科医院,二级乙等,专科医院,694.0,广东市东区,028-21921444,广东,1988-01-27,213.0,57万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广东市第17口腔医院,三级甲等,口腔医院,1957.0,广东市北区,092-60340431,广东,1969-08-26,1588.0,108万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江苏市第1肿瘤医院,三级甲等,肿瘤医院,1382.0,江苏市东区,091-74036565,江苏,1968-04-08,237.0,63万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江苏市第2妇产医院,一级甲等,妇产医院,139.0,江苏市西区,085-50302472,江苏,2012-11-25,2464.0,180万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江苏市第3儿童医院,二级乙等,儿童医院,698.0,江苏市西区,058-86368567,江苏,2018-03-18,151.0,18万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江苏市第4眼科医院,二级乙等,眼科医院,760.0,江苏市东区,057-26854621,江苏,1980-01-06,1998.0,193万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江苏市第5妇产医院,二级甲等,妇产医院,720.0,江苏市中心区,034-92699833,江苏,1975-10-24,2542.0,185万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江苏市第6心血管医院,二级乙等,心血管医院,511.0,江苏市中心区,019-76896087,江苏,2020-07-25,2070.0,147万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江苏市第7心血管医院,二级乙等,心血管医院,229.0,江苏市西区,013-93172714,江苏,1979-09-01,1598.0,166万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江苏市第8肿瘤医院,二级乙等,肿瘤医院,242.0,江苏市西区,020-57053745,江苏,1974-03-02,1359.0,175万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江苏市第9眼科医院,二级乙等,眼科医院,656.0,江苏市中心区,022-40334905,江苏,1958-09-20,2912.0,132万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江苏市第10心血管医院,二级乙等,心血管医院,354.0,江苏市南区,012-93446491,江苏,1976-08-01,1812.0,39万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江苏市第11中医医院,一级甲等,中医医院,62.0,江苏市北区,076-80804093,江苏,1974-04-16,463.0,11万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江苏市第12肿瘤医院,三级甲等,肿瘤医院,1486.0,江苏市东区,034-19039943,江苏,1977-07-11,2736.0,106万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江苏市第13精神病医院,二级乙等,精神病医院,628.0,江苏市中心区,019-66611210,江苏,1967-01-10,2235.0,50万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江苏市第14专科医院,二级甲等,专科医院,747.0,江苏市北区,070-33670312,江苏,1961-11-06,1339.0,154万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江市第1妇产医院,二级甲等,妇产医院,277.0,浙江市北区,017-99801261,浙江,1965-05-26,1617.0,98万人次,医院数据库,2025-06-12 22:43:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
