疾病名称,年份,月份,发病人数,死亡人数,治愈人数,病死率,治愈率,数据来源,统计日期,更新时间
高血压,2020,1,37174,352,28978,0.95,77.95,疾病监测系统,2020-01-01,2025-06-12 22:43:38
高血压,2020,2,42960,1204,37339,2.8,86.92,疾病监测系统,2020-02-01,2025-06-12 22:43:38
高血压,2020,3,32511,166,22855,0.51,70.3,疾病监测系统,2020-03-01,2025-06-12 22:43:38
高血压,2020,4,19173,90,15899,0.47,82.92,疾病监测系统,2020-04-01,2025-06-12 22:43:38
高血压,2020,5,11741,237,10924,2.02,93.04,疾病监测系统,2020-05-01,2025-06-12 22:43:38
高血压,2020,6,30629,184,28476,0.6,92.97,疾病监测系统,2020-06-01,2025-06-12 22:43:38
高血压,2020,7,45555,609,39397,1.34,86.48,疾病监测系统,2020-07-01,2025-06-12 22:43:38
高血压,2020,8,39958,130,33513,0.33,83.87,疾病监测系统,2020-08-01,2025-06-12 22:43:38
高血压,2020,9,8662,6,7498,0.07,86.56,疾病监测系统,2020-09-01,2025-06-12 22:43:38
高血压,2020,10,36355,639,25981,1.76,71.46,疾病监测系统,2020-10-01,2025-06-12 22:43:38
高血压,2020,11,45571,565,40186,1.24,88.18,疾病监测系统,2020-11-01,2025-06-12 22:43:38
高血压,2020,12,16129,677,13265,4.2,82.24,疾病监测系统,2020-12-01,2025-06-12 22:43:38
糖尿病,2020,1,40701,1965,38035,4.83,93.45,疾病监测系统,2020-01-01,2025-06-12 22:43:38
糖尿病,2020,2,20730,135,18414,0.65,88.83,疾病监测系统,2020-02-01,2025-06-12 22:43:38
糖尿病,2020,3,41382,1400,30207,3.38,73.0,疾病监测系统,2020-03-01,2025-06-12 22:43:38
糖尿病,2020,4,8549,415,6074,4.85,71.05,疾病监测系统,2020-04-01,2025-06-12 22:43:38
糖尿病,2020,5,22846,747,20524,3.27,89.84,疾病监测系统,2020-05-01,2025-06-12 22:43:38
糖尿病,2020,6,49889,1793,45586,3.59,91.37,疾病监测系统,2020-06-01,2025-06-12 22:43:38
糖尿病,2020,7,40392,1297,31847,3.21,78.84,疾病监测系统,2020-07-01,2025-06-12 22:43:38
糖尿病,2020,8,32528,1169,26686,3.59,82.04,疾病监测系统,2020-08-01,2025-06-12 22:43:38
糖尿病,2020,9,5453,53,4997,0.97,91.64,疾病监测系统,2020-09-01,2025-06-12 22:43:38
糖尿病,2020,10,40849,1871,32120,4.58,78.63,疾病监测系统,2020-10-01,2025-06-12 22:43:38
糖尿病,2020,11,9077,370,6560,4.08,72.27,疾病监测系统,2020-11-01,2025-06-12 22:43:38
糖尿病,2020,12,21753,1037,16644,4.77,76.51,疾病监测系统,2020-12-01,2025-06-12 22:43:38
冠心病,2020,1,5789,6,4733,0.1,81.76,疾病监测系统,2020-01-01,2025-06-12 22:43:38
冠心病,2020,2,40670,1807,35676,4.44,87.72,疾病监测系统,2020-02-01,2025-06-12 22:43:38
冠心病,2020,3,32347,1184,27011,3.66,83.5,疾病监测系统,2020-03-01,2025-06-12 22:43:38
冠心病,2020,4,15838,274,15003,1.73,94.73,疾病监测系统,2020-04-01,2025-06-12 22:43:38
冠心病,2020,5,35411,866,26357,2.45,74.43,疾病监测系统,2020-05-01,2025-06-12 22:43:38
冠心病,2020,6,22480,912,19338,4.06,86.02,疾病监测系统,2020-06-01,2025-06-12 22:43:38
冠心病,2020,7,13944,75,11723,0.54,84.07,疾病监测系统,2020-07-01,2025-06-12 22:43:38
冠心病,2020,8,6935,235,6441,3.39,92.88,疾病监测系统,2020-08-01,2025-06-12 22:43:38
冠心病,2020,9,40446,99,35646,0.24,88.13,疾病监测系统,2020-09-01,2025-06-12 22:43:38
冠心病,2020,10,26769,441,19644,1.65,73.38,疾病监测系统,2020-10-01,2025-06-12 22:43:38
冠心病,2020,11,10845,364,7614,3.36,70.21,疾病监测系统,2020-11-01,2025-06-12 22:43:38
冠心病,2020,12,43511,1496,33306,3.44,76.55,疾病监测系统,2020-12-01,2025-06-12 22:43:38
脑卒中,2020,1,5455,13,5024,0.24,92.1,疾病监测系统,2020-01-01,2025-06-12 22:43:38
脑卒中,2020,2,23242,636,17643,2.74,75.91,疾病监测系统,2020-02-01,2025-06-12 22:43:38
脑卒中,2020,3,17777,677,16043,3.81,90.25,疾病监测系统,2020-03-01,2025-06-12 22:43:38
脑卒中,2020,4,25070,201,21199,0.8,84.56,疾病监测系统,2020-04-01,2025-06-12 22:43:38
脑卒中,2020,5,26747,1019,23322,3.81,87.19,疾病监测系统,2020-05-01,2025-06-12 22:43:38
脑卒中,2020,6,28787,1166,21180,4.05,73.57,疾病监测系统,2020-06-01,2025-06-12 22:43:38
脑卒中,2020,7,48429,373,34465,0.77,71.17,疾病监测系统,2020-07-01,2025-06-12 22:43:38
脑卒中,2020,8,45591,1069,32693,2.34,71.71,疾病监测系统,2020-08-01,2025-06-12 22:43:38
脑卒中,2020,9,15354,492,12216,3.2,79.56,疾病监测系统,2020-09-01,2025-06-12 22:43:38
脑卒中,2020,10,41477,249,31885,0.6,76.87,疾病监测系统,2020-10-01,2025-06-12 22:43:38
脑卒中,2020,11,12913,32,9938,0.25,76.96,疾病监测系统,2020-11-01,2025-06-12 22:43:38
脑卒中,2020,12,23642,755,22223,3.19,94.0,疾病监测系统,2020-12-01,2025-06-12 22:43:38
恶性肿瘤,2020,1,34876,404,27366,1.16,78.47,疾病监测系统,2020-01-01,2025-06-12 22:43:38
恶性肿瘤,2020,2,26790,1322,21849,4.93,81.56,疾病监测系统,2020-02-01,2025-06-12 22:43:38
恶性肿瘤,2020,3,16283,308,12702,1.89,78.01,疾病监测系统,2020-03-01,2025-06-12 22:43:38
恶性肿瘤,2020,4,13423,161,10161,1.2,75.7,疾病监测系统,2020-04-01,2025-06-12 22:43:38
恶性肿瘤,2020,5,1514,56,1361,3.7,89.89,疾病监测系统,2020-05-01,2025-06-12 22:43:38
恶性肿瘤,2020,6,31588,554,24649,1.75,78.03,疾病监测系统,2020-06-01,2025-06-12 22:43:38
恶性肿瘤,2020,7,37541,146,35226,0.39,93.83,疾病监测系统,2020-07-01,2025-06-12 22:43:38
恶性肿瘤,2020,8,42594,183,31101,0.43,73.02,疾病监测系统,2020-08-01,2025-06-12 22:43:38
