医院名称,医院等级,医院类型,床位数,地址,电话,省份,建立时间,员工数量,年门诊量,数据来源,更新时间
北京市第1中医医院,三级乙等,中医医院,1041,北京市西区,076-57660890,北京,1984-11-04,1578,82万人次,医院数据库,2025-06-12 22:43:38
北京市第2肿瘤医院,二级乙等,肿瘤医院,550,北京市西区,087-60422712,北京,1965-10-26,729,47万人次,医院数据库,2025-06-12 22:43:38
北京市第3眼科医院,一级甲等,眼科医院,132,北京市西区,016-50806824,北京,2013-07-01,2240,115万人次,医院数据库,2025-06-12 22:43:38
北京市第4肿瘤医院,一级甲等,肿瘤医院,127,北京市中心区,034-25596506,北京,1997-06-06,1460,196万人次,医院数据库,2025-06-12 22:43:38
北京市第5心血管医院,一级甲等,心血管医院,216,北京市中心区,093-44329860,北京,1981-05-11,2517,52万人次,医院数据库,2025-06-12 22:43:38
北京市第6口腔医院,二级甲等,口腔医院,774,北京市南区,033-64873497,北京,2008-03-22,2874,150万人次,医院数据库,2025-06-12 22:43:38
北京市第7口腔医院,二级甲等,口腔医院,296,北京市北区,035-39452840,北京,1971-11-20,2690,148万人次,医院数据库,2025-06-12 22:43:38
北京市第8专科医院,二级甲等,专科医院,547,北京市中心区,073-18794927,北京,2018-06-01,2153,195万人次,医院数据库,2025-06-12 22:43:38
北京市第9儿童医院,三级甲等,儿童医院,1546,北京市西区,073-43278735,北京,1998-05-09,1443,95万人次,医院数据库,2025-06-12 22:43:38
北京市第10专科医院,二级甲等,专科医院,795,北京市北区,084-59427702,北京,1957-09-25,179,145万人次,医院数据库,2025-06-12 22:43:38
北京市第11综合医院,三级乙等,综合医院,1059,北京市北区,019-31719846,北京,1975-07-18,2508,160万人次,医院数据库,2025-06-12 22:43:38
北京市第12心血管医院,一级甲等,心血管医院,65,北京市中心区,094-67741106,北京,1966-10-17,1002,167万人次,医院数据库,2025-06-12 22:43:38
北京市第13眼科医院,二级乙等,眼科医院,643,北京市南区,057-35334558,北京,2015-12-16,2459,165万人次,医院数据库,2025-06-12 22:43:38
北京市第14精神病医院,二级乙等,精神病医院,254,北京市南区,054-17401534,北京,1965-10-14,1049,56万人次,医院数据库,2025-06-12 22:43:38
北京市第15综合医院,二级乙等,综合医院,524,北京市中心区,048-55516908,北京,2001-02-09,195,112万人次,医院数据库,2025-06-12 22:43:38
北京市第16综合医院,三级乙等,综合医院,745,北京市中心区,012-62209862,北京,1994-07-01,1929,88万人次,医院数据库,2025-06-12 22:43:38
北京市第17心血管医院,三级甲等,心血管医院,942,北京市西区,036-80022603,北京,1955-09-04,1700,180万人次,医院数据库,2025-06-12 22:43:38
北京市第18精神病医院,三级乙等,精神病医院,527,北京市北区,086-50626577,北京,1989-06-04,2749,139万人次,医院数据库,2025-06-12 22:43:38
上海市第1综合医院,二级乙等,综合医院,494,上海市西区,072-45793946,上海,1979-03-04,1430,92万人次,医院数据库,2025-06-12 22:43:38
上海市第2中医医院,一级甲等,中医医院,228,上海市东区,026-64007665,上海,1953-07-19,2267,163万人次,医院数据库,2025-06-12 22:43:38
上海市第3综合医院,二级甲等,综合医院,322,上海市南区,093-26572121,上海,1969-09-28,1797,123万人次,医院数据库,2025-06-12 22:43:38
上海市第4心血管医院,三级乙等,心血管医院,700,上海市北区,096-52822569,上海,1956-10-10,866,79万人次,医院数据库,2025-06-12 22:43:38
