政策标题,文号,发布日期,政策类型,发布部门,实施日期,政策级别,适用范围,数据来源,年份,更新时间
医疗卫生管理办法,医政发〔2020〕037号,2020-08-14,医疗卫生,国家医保局,2020-09-01,国家级,全国,政策文件库,2020,2025-06-12 22:43:39
医疗卫生监督管理办法,药监发〔2020〕032号,2020-09-10,医疗卫生,国家药监局,2020-10-01,国家级,试点地区,政策文件库,2020,2025-06-12 22:43:39
医疗卫生监督管理办法,药监发〔2020〕094号,2020-08-08,医疗卫生,国家药监局,2020-09-01,省级,特定机构,政策文件库,2020,2025-06-12 22:43:39
关于推进医疗卫生发展的指导意见,卫健发〔2020〕121号,2020-02-17,医疗卫生,国家卫健委,2020-03-01,市级,全国,政策文件库,2020,2025-06-12 22:43:39
关于加强医疗卫生管理的意见,药监发〔2020〕051号,2020-04-19,医疗卫生,国家卫健委,2020-05-01,市级,特定机构,政策文件库,2020,2025-06-12 22:43:39
关于医疗卫生工作的通知,药监发〔2020〕095号,2020-09-13,医疗卫生,国家卫健委,2020-10-01,国家级,试点地区,政策文件库,2020,2025-06-12 22:43:39
关于规范医疗卫生的规定,国卫发〔2020〕113号,2020-10-23,医疗卫生,国家药监局,2020-11-01,省级,特定机构,政策文件库,2020,2025-06-12 22:43:39
关于推进医疗卫生发展的指导意见,卫健发〔2020〕110号,2020-05-15,医疗卫生,国家医保局,2020-06-01,省级,试点地区,政策文件库,2020,2025-06-12 22:43:39
关于加强药品管理管理的意见,药监发〔2020〕078号,2020-07-04,药品管理,国家医保局,2020-08-01,国家级,全国,政策文件库,2020,2025-06-12 22:43:39
关于加强药品管理管理的意见,国卫发〔2020〕145号,2020-11-20,药品管理,国家医保局,2020-12-01,省级,试点地区,政策文件库,2020,2025-06-12 22:43:39
关于推进药品管理发展的指导意见,医政发〔2020〕032号,2020-07-16,药品管理,国家卫健委,2020-08-01,市级,全国,政策文件库,2020,2025-06-12 22:43:39
关于推进药品管理发展的指导意见,药监发〔2020〕059号,2020-07-18,药品管理,国家卫健委,2020-08-01,省级,试点地区,政策文件库,2020,2025-06-12 22:43:39
关于推进药品管理发展的指导意见,卫健发〔2020〕111号,2020-05-07,药品管理,国家药监局,2020-06-01,省级,特定机构,政策文件库,2020,2025-06-12 22:43:39
药品管理管理办法,药监发〔2020〕190号,2020-04-02,药品管理,国家卫健委,2020-05-01,省级,全国,政策文件库,2020,2025-06-12 22:43:39
关于推进药品管理发展的指导意见,药监发〔2020〕192号,2020-08-03,药品管理,国家医保局,2020-09-01,市级,特定机构,政策文件库,2020,2025-06-12 22:43:39
关于推进药品管理发展的指导意见,卫健发〔2020〕085号,2020-02-07,药品管理,国家卫健委,2020-03-01,国家级,全国,政策文件库,2020,2025-06-12 22:43:39
药品管理管理办法,药监发〔2020〕127号,2020-11-04,药品管理,各省卫健委,2020-12-01,国家级,特定机构,政策文件库,2020,2025-06-12 22:43:39
