研究标题,研究领域,研究类型,发表期刊,发表年份,发表月份,影响因子,样本量,研究机构,第一作者,通讯作者,基金支持,关键词,数据来源,更新时间
麻醉学领域Meta分析研究第1项,麻醉学,Meta分析,BMJ,2023,5,8.85,598,中山大学,作者1,通讯作者1,国家重点研发计划,"麻醉学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
麻醉学领域临床试验研究第2项,麻醉学,临床试验,New England Journal of Medicine,2023,9,7.46,1547,华中科技大学,作者2,通讯作者2,无,"麻醉学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
耳鼻喉科学领域病例对照研究研究第3项,耳鼻喉科学,病例对照研究,中国医学科学院学报,2022,12,17.44,9762,清华大学,作者3,通讯作者3,省部级基金,"耳鼻喉科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
精神病学领域病例对照研究研究第4项,精神病学,病例对照研究,Nature Medicine,2023,1,17.78,3943,清华大学,作者4,通讯作者4,国家自然科学基金,"精神病学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
内分泌学领域流行病学调查研究第5项,内分泌学,流行病学调查,New England Journal of Medicine,2022,10,6.99,2992,北京大学,作者5,通讯作者5,国家重点研发计划,"内分泌学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
肿瘤学领域病例对照研究研究第6项,肿瘤学,病例对照研究,Science,2021,5,14.3,7234,北京大学,作者6,通讯作者6,无,"肿瘤学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
风湿免疫学领域流行病学调查研究第7项,风湿免疫学,流行病学调查,Nature Medicine,2022,9,12.94,2535,中山大学,作者7,通讯作者7,国家自然科学基金,"风湿免疫学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
儿科学领域病例对照研究研究第8项,儿科学,病例对照研究,Cell,2021,9,5.59,9146,华中科技大学,作者8,通讯作者8,国家自然科学基金,"儿科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
眼科学领域临床试验研究第9项,眼科学,临床试验,Cell,2022,4,11.62,8624,复旦大学,作者9,通讯作者9,无,"眼科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
妇产科学领域病例报告研究第10项,妇产科学,病例报告,JAMA,2020,4,10.68,2501,北京大学,作者10,通讯作者10,无,"妇产科学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
内分泌学领域病例对照研究研究第11项,内分泌学,病例对照研究,Cell,2024,12,11.0,138,清华大学,作者11,通讯作者11,省部级基金,"内分泌学,临床研究,医学",医学研究数据库,2025-06-12 22:43:39
